guest_id,loyalty_status,prior_stays,stay_nights,occupancy_rate,checkin_hour,special_event,direct_booking,booked_room,total_spend_eur,upgrade
G0834,Silver,1,3,87.0,14,No,Yes,Standard,129.8,0
G0835,Silver,0,3,99.3,18,No,Yes,Standard,378.4,0
G0836,Gold,4,2,87.3,19,No,Yes,Deluxe,365.3,0
G0837,None,0,1,70.1,14,No,No,Standard,180.7,0
G0838,Silver,1,2,79.4,18,No,Yes,Standard,150.1,0
G0839,Platinum,5,3,71.6,15,No,Yes,Standard,701.6,1
G0840,None,0,3,69.4,17,No,Yes,Standard,61.7,0
G0841,Silver,2,3,92.1,16,No,Yes,Deluxe,506.4,0
G0842,Platinum,4,2,86.6,19,No,Yes,Standard,294.1,0
G0843,Gold,6,3,73.8,20,Yes,Yes,Standard,569.8,0
G0844,None,0,5,93.8,19,Yes,No,Standard,531.5,0
G0845,None,0,5,90.2,16,No,Yes,Standard,573.9,0
G0846,Gold,3,2,69.1,16,No,Yes,Standard,496.9,0
G0847,Platinum,11,4,94.7,15,No,Yes,Standard,821.9,1
G0848,None,2,3,71.8,16,No,Yes,Standard,166.1,0
G0849,Gold,2,2,63.2,21,No,No,Standard,172.0,1
G0850,Gold,5,2,82.9,13,No,No,Standard,312.8,1
G0851,None,1,4,74.4,17,No,Yes,Standard,248.7,1
G0852,None,0,1,92.5,21,No,Yes,Deluxe,375.7,0
G0853,Silver,4,4,79.2,13,No,No,Standard,496.1,0
G0854,None,1,2,72.6,23,No,No,Standard,294.9,0
G0855,Silver,0,6,88.8,20,No,Yes,Standard,618.8,0
G0856,None,1,3,80.6,21,No,No,Deluxe,388.8,0
G0857,None,1,4,100.0,16,Yes,Yes,Standard,607.1,0
G0858,Gold,4,2,70.0,19,No,Yes,Standard,417.1,1
G0859,None,0,3,93.0,23,No,No,Deluxe,509.6,1
G0860,Silver,1,1,77.1,15,No,Yes,Standard,60.0,0
G0861,None,0,2,63.7,15,No,Yes,Standard,218.9,0
G0862,None,1,3,74.6,14,Yes,Yes,Standard,285.9,0
G0863,None,0,1,82.7,22,Yes,Yes,Standard,60.0,0
G0864,None,0,4,91.9,14,No,No,Deluxe,552.0,0
G0865,None,2,2,66.0,19,No,Yes,Deluxe,612.1,0
G0866,None,0,3,61.5,15,No,Yes,Standard,257.0,0
G0867,Silver,0,2,60.8,16,No,Yes,Standard,109.4,0
G0868,None,3,5,57.7,13,Yes,Yes,Standard,817.9,0
G0869,None,1,3,99.2,14,Yes,Yes,Standard,305.8,0
G0870,None,1,2,71.4,18,No,No,Deluxe,464.4,0
G0871,Gold,7,6,81.8,16,No,No,Standard,843.9,0
G0872,Gold,7,2,56.7,13,No,Yes,Deluxe,566.9,1
G0873,Gold,3,2,72.3,12,No,Yes,Standard,219.3,0
G0874,Silver,2,1,84.8,17,Yes,No,Deluxe,617.7,0
G0875,None,2,3,82.2,19,No,Yes,Standard,380.6,0
G0876,Gold,4,5,71.7,14,No,Yes,Standard,623.4,0
G0877,Silver,0,2,100.0,17,No,No,Standard,60.0,0
G0878,None,1,2,68.0,18,No,Yes,Standard,279.5,0
G0879,None,2,1,46.1,16,No,Yes,Standard,217.0,1
G0880,Platinum,7,5,65.7,12,No,No,Deluxe,920.2,1
G0881,Gold,7,3,94.5,17,No,Yes,Standard,479.8,1
G0882,Silver,2,1,70.4,15,No,Yes,Standard,60.0,0
G0883,Gold,5,4,64.1,13,No,Yes,Standard,646.1,1
G0884,Platinum,14,3,65.8,14,No,No,Standard,856.0,1
G0885,None,0,2,58.8,17,No,No,Deluxe,189.5,0
G0886,None,0,1,59.8,15,No,Yes,Standard,105.6,0
G0887,Silver,2,2,72.3,21,No,No,Deluxe,296.8,0
G0888,None,2,4,40.9,18,No,Yes,Deluxe,791.5,1
G0889,None,0,1,53.3,11,No,No,Standard,122.8,0
G0890,Gold,6,2,71.2,19,No,Yes,Standard,271.4,1
G0891,None,0,3,53.7,15,No,Yes,Standard,458.5,1
G0892,Gold,2,1,97.7,18,No,Yes,Standard,303.3,0
G0893,Gold,5,5,89.2,15,No,No,Deluxe,958.1,0
G0894,None,1,2,97.8,15,No,Yes,Standard,192.2,0
G0895,Silver,3,3,80.1,13,No,No,Standard,555.1,0
G0896,Silver,1,1,95.2,18,No,Yes,Deluxe,192.6,1
G0897,Silver,3,2,96.5,15,No,Yes,Standard,302.5,1
G0898,Silver,1,3,100.0,18,No,Yes,Deluxe,241.3,1
G0899,None,1,1,55.1,20,No,Yes,Standard,140.1,0
G0900,None,0,1,67.9,20,No,No,Standard,60.0,1
